Month,Week,GMV,YT - Imps,YT - Clicks,YT Spends - Perf,YT Spends - Perf,YT Spend-Brand,Meta Spends - RnF,Meta Spend - Perf,Hotstar - Imps,Hotstar - Clicks,Hotstar - Spends,Jio - Impressions,Jio - Clicks,Jio - Spend,Amazon DSP,Amazon,Flipkart,Zepto,TV
Jan,Week 1,377138,17062034,154320,1431543,1431543,955418,476869,0,0,0,0,0,0,0,70749,274696,0,46240,3881264
Jan,Week 2,408881,18026967,170217,1433093,1433093,1088861,709289,148967,0,0,0,0,0,0,97404,148403,0,46240,3881264
Jan,Week 3,434582,17009143,167485,1497935,1497935,881627,707121,419958,0,0,0,0,0,0,120738,171236,0,46240,3881264
Jan,Week 4,293222,7525415,72860,717846,717846,334952,519216,243806,0,0,0,0,0,0,75674,111970,0,46240,3881264
Feb,Week 5,1062352,6624822,46521,585642,585642,341164,427380,54889,935528,1646,67325,73425,2345,5868,11316,153028,2270,111037,4491486
Feb,Week 6,1141213,15169566,108622,1217443,1217443,904764,676941,340367,3342387,6287,240493,818094,7012,65409,85462,205502,2270,111037,4491486
Feb,Week 7,1315286,15803991,120364,1458835,1458835,752127,605993,341830,3117683,3645,226551,667046,3361,53989,108475,224784,2270,111037,4491486
Feb,Week 8,1520713,9866831,80043,985914,985914,394445,503370,262914,2363726,2624,172627,705103,3562,57177,135735,217478,2270,111037,4491486
Mar,Week 9,1985077,3175399,24244,314958,314958,129277,96224,0,229053,471,16480,145747,826,11657,81516,186015,7076,82047,3524196
Mar,Week 10,2009905,16056507,124340,1399655,1399655,846634,1122637,0,281982,325,20302,578131,8971,46230,21211,182822,7076,82047,3524196
Mar,Week 11,1853154,14746324,122339,1314522,1314522,748474,1149141,0,4886955,5484,351762,619138,7487,49517,74472,150909,7076,82047,3524196
Mar,Week 12,1785755,12668182,107260,1270153,1270153,502113,1125770,0,2708245,3119,194991,510085,5970,40812,185273,120353,7076,82047,3524196
Mar,Week 13,1558931,1476062,13541,163696,163696,42804,696773,0,2143545,2364,154261,813317,15565,65043,230248,78294,7076,82047,3524196
Apr,Week 14,366439,12541919,76838,857846,857846,896756,265376,32436,1125809,2582,89940,3,0,0,24256,109236,0,17627,2743367
Apr,Week 15,441435,13170336,95129,1035736,1035736,806780,284298,116869,1147859,2990,91818,0,0,0,166207,125739,0,17627,2743367
Apr,Week 16,426308,12574152,99506,1165015,1165015,594096,428477,46232,1032510,2656,82624,0,0,0,63228,114210,0,17627,2743367
Apr,Week 17,399835,24104443,193447,2563336,2563336,808851,410204,0,1802,2,144,0,0,0,0,116961,0,17627,2743367
May,Week 18,385783,4219822,32346,366942,366942,223407,216328,56764,646133,1444,51682,0,0,0,0,114948,0,16788,2795384
May,Week 19,301500,12083335,122579,1039124,1039124,651322,308420,131673,1995085,4798,159753,0,0,0,0,87283,0,16788,2795384
May,Week 20,344169,14027786,93052,1254965,1254965,707508,278631,72566,1766511,5683,141505,0,0,0,0,83836,0,16788,2795384
May,Week 21,343031,12511906,59189,1142399,1142399,608004,330932,256311,1708325,4533,136641,0,0,0,0,70320,0,16788,2795384
May,Week 22,284902,8205333,52428,755207,755207,392711,370852,348837,36429,73,2914,0,0,0,0,55560,0,16788,2795384
